Comunidades autónomas;Tipo de dato;Periodo;Total
01 Andalucía;Dato base;2018M12;5.939
01 Andalucía;Dato base;2018M11;6.105
01 Andalucía;Dato base;2018M10;6.301
01 Andalucía;Dato base;2018M09;6.039
01 Andalucía;Dato base;2018M08;6.313
01 Andalucía;Dato base;2018M07;6.116
01 Andalucía;Dato base;2018M06;5.649
01 Andalucía;Dato base;2018M05;5.776
01 Andalucía;Dato base;2018M04;5.571
01 Andalucía;Dato base;2018M03;5.722
01 Andalucía;Dato base;2018M02;5.381
01 Andalucía;Dato base;2018M01;6.117
02 Aragón;Dato base;2018M12;794
02 Aragón;Dato base;2018M11;821
02 Aragón;Dato base;2018M10;930
02 Aragón;Dato base;2018M09;824
02 Aragón;Dato base;2018M08;858
02 Aragón;Dato base;2018M07;871
02 Aragón;Dato base;2018M06;879
02 Aragón;Dato base;2018M05;853
02 Aragón;Dato base;2018M04;792
02 Aragón;Dato base;2018M03;802
02 Aragón;Dato base;2018M02;741
02 Aragón;Dato base;2018M01;812
03 Asturias, Principado de;Dato base;2018M12;470
03 Asturias, Principado de;Dato base;2018M11;453
03 Asturias, Principado de;Dato base;2018M10;506
03 Asturias, Principado de;Dato base;2018M09;459
03 Asturias, Principado de;Dato base;2018M08;489
03 Asturias, Principado de;Dato base;2018M07;489
03 Asturias, Principado de;Dato base;2018M06;457
03 Asturias, Principado de;Dato base;2018M05;469
03 Asturias, Principado de;Dato base;2018M04;485
03 Asturias, Principado de;Dato base;2018M03;485
03 Asturias, Principado de;Dato base;2018M02;428
03 Asturias, Principado de;Dato base;2018M01;543
04 Balears, Illes;Dato base;2018M12;874
04 Balears, Illes;Dato base;2018M11;934
04 Balears, Illes;Dato base;2018M10;947
04 Balears, Illes;Dato base;2018M09;861
04 Balears, Illes;Dato base;2018M08;988
04 Balears, Illes;Dato base;2018M07;867
04 Balears, Illes;Dato base;2018M06;780
04 Balears, Illes;Dato base;2018M05;752
04 Balears, Illes;Dato base;2018M04;773
04 Balears, Illes;Dato base;2018M03;834
04 Balears, Illes;Dato base;2018M02;784
04 Balears, Illes;Dato base;2018M01;891
05 Canarias;Dato base;2018M12;1.224
05 Canarias;Dato base;2018M11;1.343
05 Canarias;Dato base;2018M10;1.410
05 Canarias;Dato base;2018M09;1.282
05 Canarias;Dato base;2018M08;1.285
05 Canarias;Dato base;2018M07;1.222
05 Canarias;Dato base;2018M06;1.150
05 Canarias;Dato base;2018M05;1.205
05 Canarias;Dato base;2018M04;1.090
05 Canarias;Dato base;2018M03;1.274
05 Canarias;Dato base;2018M02;1.102
05 Canarias;Dato base;2018M01;1.188
06 Cantabria;Dato base;2018M12;319
06 Cantabria;Dato base;2018M11;317
06 Cantabria;Dato base;2018M10;318
06 Cantabria;Dato base;2018M09;292
06 Cantabria;Dato base;2018M08;347
06 Cantabria;Dato base;2018M07;358
06 Cantabria;Dato base;2018M06;288
06 Cantabria;Dato base;2018M05;354
06 Cantabria;Dato base;2018M04;290
06 Cantabria;Dato base;2018M03;311
06 Cantabria;Dato base;2018M02;301
06 Cantabria;Dato base;2018M01;310
08 Castilla - La Mancha;Dato base;2018M12;1.276
08 Castilla - La Mancha;Dato base;2018M11;1.241
08 Castilla - La Mancha;Dato base;2018M10;1.459
08 Castilla - La Mancha;Dato base;2018M09;1.324
08 Castilla - La Mancha;Dato base;2018M08;1.374
08 Castilla - La Mancha;Dato base;2018M07;1.391
08 Castilla - La Mancha;Dato base;2018M06;1.358
08 Castilla - La Mancha;Dato base;2018M05;1.342
08 Castilla - La Mancha;Dato base;2018M04;1.221
08 Castilla - La Mancha;Dato base;2018M03;1.255
08 Castilla - La Mancha;Dato base;2018M02;1.220
08 Castilla - La Mancha;Dato base;2018M01;1.384
07 Castilla y León;Dato base;2018M12;1.189
07 Castilla y León;Dato base;2018M11;1.181
07 Castilla y León;Dato base;2018M10;1.280
07 Castilla y León;Dato base;2018M09;1.227
07 Castilla y León;Dato base;2018M08;1.341
07 Castilla y León;Dato base;2018M07;1.325
07 Castilla y León;Dato base;2018M06;1.293
07 Castilla y León;Dato base;2018M05;1.311
07 Castilla y León;Dato base;2018M04;1.272
07 Castilla y León;Dato base;2018M03;1.247
07 Castilla y León;Dato base;2018M02;1.156
07 Castilla y León;Dato base;2018M01;1.222
09 Cataluña;Dato base;2018M12;5.341
09 Cataluña;Dato base;2018M11;5.085
09 Cataluña;Dato base;2018M10;5.661
09 Cataluña;Dato base;2018M09;5.405
09 Cataluña;Dato base;2018M08;5.653
09 Cataluña;Dato base;2018M07;5.494
09 Cataluña;Dato base;2018M06;5.272
09 Cataluña;Dato base;2018M05;5.238
09 Cataluña;Dato base;2018M04;4.942
09 Cataluña;Dato base;2018M03;5.249
09 Cataluña;Dato base;2018M02;4.808
09 Cataluña;Dato base;2018M01;5.418
10 Comunitat Valenciana;Dato base;2018M12;3.196
10 Comunitat Valenciana;Dato base;2018M11;3.125
10 Comunitat Valenciana;Dato base;2018M10;3.400
10 Comunitat Valenciana;Dato base;2018M09;3.292
10 Comunitat Valenciana;Dato base;2018M08;3.399
10 Comunitat Valenciana;Dato base;2018M07;3.347
10 Comunitat Valenciana;Dato base;2018M06;3.041
10 Comunitat Valenciana;Dato base;2018M05;3.044
10 Comunitat Valenciana;Dato base;2018M04;2.836
10 Comunitat Valenciana;Dato base;2018M03;3.127
10 Comunitat Valenciana;Dato base;2018M02;2.898
10 Comunitat Valenciana;Dato base;2018M01;3.313
11 Extremadura;Dato base;2018M12;636
11 Extremadura;Dato base;2018M11;641
11 Extremadura;Dato base;2018M10;703
11 Extremadura;Dato base;2018M09;626
11 Extremadura;Dato base;2018M08;693
11 Extremadura;Dato base;2018M07;680
11 Extremadura;Dato base;2018M06;641
11 Extremadura;Dato base;2018M05;678
11 Extremadura;Dato base;2018M04;624
11 Extremadura;Dato base;2018M03;654
11 Extremadura;Dato base;2018M02;568
11 Extremadura;Dato base;2018M01;677
12 Galicia;Dato base;2018M12;1.327
12 Galicia;Dato base;2018M11;1.300
12 Galicia;Dato base;2018M10;1.408
12 Galicia;Dato base;2018M09;1.312
