Comunidades autónomas;Tipo de dato;Periodo;Total
12 Galicia;Dato base;2018M08;1.468
12 Galicia;Dato base;2018M07;1.434
12 Galicia;Dato base;2018M06;1.415
12 Galicia;Dato base;2018M05;1.438
12 Galicia;Dato base;2018M04;1.396
12 Galicia;Dato base;2018M03;1.333
12 Galicia;Dato base;2018M02;1.264
12 Galicia;Dato base;2018M01;1.465
13 Madrid, Comunidad de;Dato base;2018M12;4.606
13 Madrid, Comunidad de;Dato base;2018M11;4.660
13 Madrid, Comunidad de;Dato base;2018M10;5.002
13 Madrid, Comunidad de;Dato base;2018M09;4.820
13 Madrid, Comunidad de;Dato base;2018M08;5.005
13 Madrid, Comunidad de;Dato base;2018M07;5.109
13 Madrid, Comunidad de;Dato base;2018M06;4.843
13 Madrid, Comunidad de;Dato base;2018M05;5.010
13 Madrid, Comunidad de;Dato base;2018M04;4.858
13 Madrid, Comunidad de;Dato base;2018M03;4.633
13 Madrid, Comunidad de;Dato base;2018M02;4.283
13 Madrid, Comunidad de;Dato base;2018M01;4.725
14 Murcia, Región de;Dato base;2018M12;1.225
14 Murcia, Región de;Dato base;2018M11;1.204
14 Murcia, Región de;Dato base;2018M10;1.292
14 Murcia, Región de;Dato base;2018M09;1.273
14 Murcia, Región de;Dato base;2018M08;1.309
14 Murcia, Región de;Dato base;2018M07;1.277
14 Murcia, Región de;Dato base;2018M06;1.173
14 Murcia, Región de;Dato base;2018M05;1.158
14 Murcia, Región de;Dato base;2018M04;1.127
14 Murcia, Región de;Dato base;2018M03;1.177
14 Murcia, Región de;Dato base;2018M02;1.161
14 Murcia, Región de;Dato base;2018M01;1.299
15 Navarra, Comunidad Foral de;Dato base;2018M12;410
15 Navarra, Comunidad Foral de;Dato base;2018M11;437
15 Navarra, Comunidad Foral de;Dato base;2018M10;458
15 Navarra, Comunidad Foral de;Dato base;2018M09;436
15 Navarra, Comunidad Foral de;Dato base;2018M08;463
15 Navarra, Comunidad Foral de;Dato base;2018M07;480
15 Navarra, Comunidad Foral de;Dato base;2018M06;469
15 Navarra, Comunidad Foral de;Dato base;2018M05;482
15 Navarra, Comunidad Foral de;Dato base;2018M04;409
15 Navarra, Comunidad Foral de;Dato base;2018M03;449
15 Navarra, Comunidad Foral de;Dato base;2018M02;415
15 Navarra, Comunidad Foral de;Dato base;2018M01;490
16 País Vasco;Dato base;2018M12;1.307
16 País Vasco;Dato base;2018M11;1.303
16 País Vasco;Dato base;2018M10;1.392
16 País Vasco;Dato base;2018M09;1.365
16 País Vasco;Dato base;2018M08;1.459
16 País Vasco;Dato base;2018M07;1.455
16 País Vasco;Dato base;2018M06;1.286
16 País Vasco;Dato base;2018M05;1.409
16 País Vasco;Dato base;2018M04;1.246
16 País Vasco;Dato base;2018M03;1.281
16 País Vasco;Dato base;2018M02;1.240
16 País Vasco;Dato base;2018M01;1.357
17 Rioja, La;Dato base;2018M12;172
17 Rioja, La;Dato base;2018M11;214
17 Rioja, La;Dato base;2018M10;205
17 Rioja, La;Dato base;2018M09;196
17 Rioja, La;Dato base;2018M08;212
17 Rioja, La;Dato base;2018M07;213
17 Rioja, La;Dato base;2018M06;218
17 Rioja, La;Dato base;2018M05;203
17 Rioja, La;Dato base;2018M04;183
17 Rioja, La;Dato base;2018M03;179
17 Rioja, La;Dato base;2018M02;145
17 Rioja, La;Dato base;2018M01;190
18 Ceuta;Dato base;2018M12;70
18 Ceuta;Dato base;2018M11;73
18 Ceuta;Dato base;2018M10;90
18 Ceuta;Dato base;2018M09;70
18 Ceuta;Dato base;2018M08;86
18 Ceuta;Dato base;2018M07;84
18 Ceuta;Dato base;2018M06;71
18 Ceuta;Dato base;2018M05;79
18 Ceuta;Dato base;2018M04;87
18 Ceuta;Dato base;2018M03;94
18 Ceuta;Dato base;2018M02;75
18 Ceuta;Dato base;2018M01;93
19 Melilla;Dato base;2018M12;112
19 Melilla;Dato base;2018M11;109
19 Melilla;Dato base;2018M10;112
19 Melilla;Dato base;2018M09;121
19 Melilla;Dato base;2018M08;118
19 Melilla;Dato base;2018M07;130
19 Melilla;Dato base;2018M06;97
19 Melilla;Dato base;2018M05;105
19 Melilla;Dato base;2018M04;100
19 Melilla;Dato base;2018M03;100
19 Melilla;Dato base;2018M02;116
19 Melilla;Dato base;2018M01;120
