Comunidades autónomas;Tipo de dato;Periodo;Total
01 Andalucía;Dato base;2017M12;6.256
01 Andalucía;Dato base;2017M11;6.528
01 Andalucía;Dato base;2017M10;6.816
01 Andalucía;Dato base;2017M09;6.460
01 Andalucía;Dato base;2017M08;6.379
01 Andalucía;Dato base;2017M07;6.416
01 Andalucía;Dato base;2017M06;5.848
01 Andalucía;Dato base;2017M05;5.980
01 Andalucía;Dato base;2017M04;5.786
01 Andalucía;Dato base;2017M03;6.336
01 Andalucía;Dato base;2017M02;5.605
01 Andalucía;Dato base;2017M01;6.274
02 Aragón;Dato base;2017M12;817
02 Aragón;Dato base;2017M11;959
02 Aragón;Dato base;2017M10;916
02 Aragón;Dato base;2017M09;936
02 Aragón;Dato base;2017M08;923
02 Aragón;Dato base;2017M07;898
02 Aragón;Dato base;2017M06;847
02 Aragón;Dato base;2017M05;870
02 Aragón;Dato base;2017M04;828
02 Aragón;Dato base;2017M03;896
02 Aragón;Dato base;2017M02;771
02 Aragón;Dato base;2017M01;870
03 Asturias, Principado de;Dato base;2017M12;545
03 Asturias, Principado de;Dato base;2017M11;468
03 Asturias, Principado de;Dato base;2017M10;491
03 Asturias, Principado de;Dato base;2017M09;502
03 Asturias, Principado de;Dato base;2017M08;535
03 Asturias, Principado de;Dato base;2017M07;532
03 Asturias, Principado de;Dato base;2017M06;483
03 Asturias, Principado de;Dato base;2017M05;530
03 Asturias, Principado de;Dato base;2017M04;480
03 Asturias, Principado de;Dato base;2017M03;535
03 Asturias, Principado de;Dato base;2017M02;446
03 Asturias, Principado de;Dato base;2017M01;465
04 Balears, Illes;Dato base;2017M12;903
04 Balears, Illes;Dato base;2017M11;880
04 Balears, Illes;Dato base;2017M10;915
04 Balears, Illes;Dato base;2017M09;919
04 Balears, Illes;Dato base;2017M08;882
04 Balears, Illes;Dato base;2017M07;887
04 Balears, Illes;Dato base;2017M06;817
04 Balears, Illes;Dato base;2017M05;839
04 Balears, Illes;Dato base;2017M04;717
04 Balears, Illes;Dato base;2017M03;872
04 Balears, Illes;Dato base;2017M02;803
04 Balears, Illes;Dato base;2017M01;854
05 Canarias;Dato base;2017M12;1.387
05 Canarias;Dato base;2017M11;1.396
05 Canarias;Dato base;2017M10;1.518
05 Canarias;Dato base;2017M09;1.355
05 Canarias;Dato base;2017M08;1.300
05 Canarias;Dato base;2017M07;1.366
05 Canarias;Dato base;2017M06;1.234
05 Canarias;Dato base;2017M05;1.197
05 Canarias;Dato base;2017M04;1.143
05 Canarias;Dato base;2017M03;1.295
05 Canarias;Dato base;2017M02;1.232
05 Canarias;Dato base;2017M01;1.356
06 Cantabria;Dato base;2017M12;327
06 Cantabria;Dato base;2017M11;368
06 Cantabria;Dato base;2017M10;341
06 Cantabria;Dato base;2017M09;346
06 Cantabria;Dato base;2017M08;395
06 Cantabria;Dato base;2017M07;328
06 Cantabria;Dato base;2017M06;347
06 Cantabria;Dato base;2017M05;312
06 Cantabria;Dato base;2017M04;337
06 Cantabria;Dato base;2017M03;338
06 Cantabria;Dato base;2017M02;321
06 Cantabria;Dato base;2017M01;358
08 Castilla - La Mancha;Dato base;2017M12;1.358
08 Castilla - La Mancha;Dato base;2017M11;1.384
08 Castilla - La Mancha;Dato base;2017M10;1.516
08 Castilla - La Mancha;Dato base;2017M09;1.434
08 Castilla - La Mancha;Dato base;2017M08;1.473
08 Castilla - La Mancha;Dato base;2017M07;1.526
08 Castilla - La Mancha;Dato base;2017M06;1.430
08 Castilla - La Mancha;Dato base;2017M05;1.421
08 Castilla - La Mancha;Dato base;2017M04;1.237
08 Castilla - La Mancha;Dato base;2017M03;1.437
08 Castilla - La Mancha;Dato base;2017M02;1.291
08 Castilla - La Mancha;Dato base;2017M01;1.357
07 Castilla y León;Dato base;2017M12;1.237
07 Castilla y León;Dato base;2017M11;1.294
07 Castilla y León;Dato base;2017M10;1.357
07 Castilla y León;Dato base;2017M09;1.319
07 Castilla y León;Dato base;2017M08;1.390
07 Castilla y León;Dato base;2017M07;1.413
07 Castilla y León;Dato base;2017M06;1.308
07 Castilla y León;Dato base;2017M05;1.364
07 Castilla y León;Dato base;2017M04;1.257
07 Castilla y León;Dato base;2017M03;1.291
07 Castilla y León;Dato base;2017M02;1.123
07 Castilla y León;Dato base;2017M01;1.156
09 Cataluña;Dato base;2017M12;5.295
09 Cataluña;Dato base;2017M11;5.601
09 Cataluña;Dato base;2017M10;5.805
09 Cataluña;Dato base;2017M09;5.730
09 Cataluña;Dato base;2017M08;5.748
09 Cataluña;Dato base;2017M07;5.898
09 Cataluña;Dato base;2017M06;5.433
09 Cataluña;Dato base;2017M05;5.659
09 Cataluña;Dato base;2017M04;5.211
09 Cataluña;Dato base;2017M03;5.533
09 Cataluña;Dato base;2017M02;5.112
09 Cataluña;Dato base;2017M01;5.778
10 Comunitat Valenciana;Dato base;2017M12;3.357
10 Comunitat Valenciana;Dato base;2017M11;3.498
10 Comunitat Valenciana;Dato base;2017M10;3.708
10 Comunitat Valenciana;Dato base;2017M09;3.436
10 Comunitat Valenciana;Dato base;2017M08;3.485
10 Comunitat Valenciana;Dato base;2017M07;3.446
10 Comunitat Valenciana;Dato base;2017M06;3.177
10 Comunitat Valenciana;Dato base;2017M05;3.349
10 Comunitat Valenciana;Dato base;2017M04;3.075
10 Comunitat Valenciana;Dato base;2017M03;3.319
10 Comunitat Valenciana;Dato base;2017M02;3.085
10 Comunitat Valenciana;Dato base;2017M01;3.383
11 Extremadura;Dato base;2017M12;636
11 Extremadura;Dato base;2017M11;715
11 Extremadura;Dato base;2017M10;775
11 Extremadura;Dato base;2017M09;724
11 Extremadura;Dato base;2017M08;688
11 Extremadura;Dato base;2017M07;702
11 Extremadura;Dato base;2017M06;722
11 Extremadura;Dato base;2017M05;760
11 Extremadura;Dato base;2017M04;685
11 Extremadura;Dato base;2017M03;717
11 Extremadura;Dato base;2017M02;659
11 Extremadura;Dato base;2017M01;712
12 Galicia;Dato base;2017M12;1.511
12 Galicia;Dato base;2017M11;1.551
12 Galicia;Dato base;2017M10;1.627
12 Galicia;Dato base;2017M09;1.538
12 Galicia;Dato base;2017M08;1.700
12 Galicia;Dato base;2017M07;1.604
12 Galicia;Dato base;2017M06;1.522
12 Galicia;Dato base;2017M05;1.493
12 Galicia;Dato base;2017M04;1.476
12 Galicia;Dato base;2017M03;1.569
12 Galicia;Dato base;2017M02;1.371
12 Galicia;Dato base;2017M01;1.483
13 Madrid, Comunidad de;Dato base;2017M12;4.795
13 Madrid, Comunidad de;Dato base;2017M11;4.933
13 Madrid, Comunidad de;Dato base;2017M10;5.298
13 Madrid, Comunidad de;Dato base;2017M09;5.144
13 Madrid, Comunidad de;Dato base;2017M08;5.159
13 Madrid, Comunidad de;Dato base;2017M07;5.202
13 Madrid, Comunidad de;Dato base;2017M06;5.206
13 Madrid, Comunidad de;Dato base;2017M05;5.209
13 Madrid, Comunidad de;Dato base;2017M04;4.927
13 Madrid, Comunidad de;Dato base;2017M03;5.161
13 Madrid, Comunidad de;Dato base;2017M02;4.561
13 Madrid, Comunidad de;Dato base;2017M01;4.960
14 Murcia, Región de;Dato base;2017M12;1.246
14 Murcia, Región de;Dato base;2017M11;1.307
14 Murcia, Región de;Dato base;2017M10;1.368
14 Murcia, Región de;Dato base;2017M09;1.327
14 Murcia, Región de;Dato base;2017M08;1.339
14 Murcia, Región de;Dato base;2017M07;1.246
14 Murcia, Región de;Dato base;2017M06;1.239
14 Murcia, Región de;Dato base;2017M05;1.199
14 Murcia, Región de;Dato base;2017M04;1.200
14 Murcia, Región de;Dato base;2017M03;1.223
14 Murcia, Región de;Dato base;2017M02;1.180
14 Murcia, Región de;Dato base;2017M01;1.214
15 Navarra, Comunidad Foral de;Dato base;2017M12;456
15 Navarra, Comunidad Foral de;Dato base;2017M11;494
15 Navarra, Comunidad Foral de;Dato base;2017M10;495
15 Navarra, Comunidad Foral de;Dato base;2017M09;503
15 Navarra, Comunidad Foral de;Dato base;2017M08;537
15 Navarra, Comunidad Foral de;Dato base;2017M07;524
15 Navarra, Comunidad Foral de;Dato base;2017M06;483
15 Navarra, Comunidad Foral de;Dato base;2017M05;464
15 Navarra, Comunidad Foral de;Dato base;2017M04;454
15 Navarra, Comunidad Foral de;Dato base;2017M03;455
15 Navarra, Comunidad Foral de;Dato base;2017M02;419
15 Navarra, Comunidad Foral de;Dato base;2017M01;462
16 País Vasco;Dato base;2017M12;1.319
16 País Vasco;Dato base;2017M11;1.389
16 País Vasco;Dato base;2017M10;1.541
16 País Vasco;Dato base;2017M09;1.477
16 País Vasco;Dato base;2017M08;1.495
16 País Vasco;Dato base;2017M07;1.458
16 País Vasco;Dato base;2017M06;1.406
16 País Vasco;Dato base;2017M05;1.541
16 País Vasco;Dato base;2017M04;1.390
16 País Vasco;Dato base;2017M03;1.337
16 País Vasco;Dato base;2017M02;1.287
16 País Vasco;Dato base;2017M01;1.437
17 Rioja, La;Dato base;2017M12;204
17 Rioja, La;Dato base;2017M11;209
17 Rioja, La;Dato base;2017M10;234
17 Rioja, La;Dato base;2017M09;207
17 Rioja, La;Dato base;2017M08;221
17 Rioja, La;Dato base;2017M07;202
17 Rioja, La;Dato base;2017M06;223
17 Rioja, La;Dato base;2017M05;240
17 Rioja, La;Dato base;2017M04;225
17 Rioja, La;Dato base;2017M03;213
17 Rioja, La;Dato base;2017M02;188
17 Rioja, La;Dato base;2017M01;200
18 Ceuta;Dato base;2017M12;92
18 Ceuta;Dato base;2017M11;95
18 Ceuta;Dato base;2017M10;90
18 Ceuta;Dato base;2017M09;101
18 Ceuta;Dato base;2017M08;109
18 Ceuta;Dato base;2017M07;89
18 Ceuta;Dato base;2017M06;85
18 Ceuta;Dato base;2017M05;53
18 Ceuta;Dato base;2017M04;73
18 Ceuta;Dato base;2017M03;82
18 Ceuta;Dato base;2017M02;82
18 Ceuta;Dato base;2017M01;94
19 Melilla;Dato base;2017M12;100
19 Melilla;Dato base;2017M11;106
19 Melilla;Dato base;2017M10;93
19 Melilla;Dato base;2017M09;108
19 Melilla;Dato base;2017M08;131
19 Melilla;Dato base;2017M07;124
19 Melilla;Dato base;2017M06;123
19 Melilla;Dato base;2017M05;122
19 Melilla;Dato base;2017M04;99
19 Melilla;Dato base;2017M03;97
19 Melilla;Dato base;2017M02;111
19 Melilla;Dato base;2017M01;128
